,Filing Date,Symbol,Company Name,Price Range,Shares Offered,Price Range_nos,Avg_price,Shares_offered_value
165,2023-01-13,RVGO,"RVeloCITY, Inc.",4.00 - 5.00,3750000.0,2,4.5,16875000.0
166,2023-01-10,FDAN,FD Technology Inc.,4.00 - 6.00,3500000.0,2,5.0,17500000.0
167,2022-12-29,RYET,Ruanyun Edai Technology Inc.,5.00 - 6.00,5000000.0,2,5.5,27500000.0
168,2022-12-29,IMSV,IMMRSIV Inc.,4.00 - 5.00,1500000.0,2,4.5,6750000.0
169,2022-12-29,BZFL,Bozhi Fanglue International Investment Group Co Ltd,-,,0,0.0,
170,2022-12-28,GLXG,Galaxy Payroll Group Limited,4.00,2000000.0,1,4.0,8000000.0
171,2022-12-21,HBER,Hubeier Group Ltd.,6.00,,1,6.0,
172,2022-12-20,ZYRX,Global Earnings Capital Ltd.,5.00,,1,5.0,
173,2022-12-16,GDLT,Greifenberg Digital Limited,5.00,3000000.0,1,5.0,15000000.0
174,2022-12-08,SCRP,"Scripps Safe, Inc.",5.00,1200000.0,1,5.0,6000000.0
175,2022-11-18,BKV,BKV Corporation,-,,0,0.0,
176,2022-11-10,ALKD,Alkaid Acquisition Corp.,10.00,5000000.0,1,10.0,50000000.0
177,2022-11-09,BNTY,"Bounty Minerals, Inc.",-,,0,0.0,
178,2022-10-26,DCCA,Decca Investment Limited,4.00 - 6.00,6000000.0,2,5.0,30000000.0
179,2022-10-25,LIAI,Lemeng Holdings Limited,4.00 - 6.00,4000000.0,2,5.0,20000000.0
180,2022-10-13,MDLB,Medlab Clinical Ltd.,4.45,1797752.0,1,4.45,7999996.4
181,2022-10-12,MSFC,Mao Shi Jade Jewelry International Investment Ltd.,5.00,,1,5.0,
182,2022-10-11,SODR,SONDORS Inc.,4.00 - 6.00,4000000.0,2,5.0,20000000.0
183,2022-10-07,SAG,SAG Holdings Limited,8.00,875000.0,1,8.0,7000000.0
184,2022-09-30,BBCH,"Blue-Touch Holdings Group Co., Ltd",4.00 - 6.00,2000000.0,2,5.0,10000000.0
185,2022-09-16,AGII,AgiiPlus Inc.,5.00 - 6.00,2000000.0,2,5.5,11000000.0
186,2022-09-16,SJA,"SolarJuice Co., Ltd.",4.00 - 6.00,3750000.0,2,5.0,18750000.0
187,2022-09-12,MNX,"MN8 Energy, Inc.",-,,0,0.0,
188,2022-09-09,VTRO,"Vitro Biopharma, Inc.",15.00,2179344.0,1,15.0,32690160.0
189,2022-09-02,PSE,Prime Skyline Limited,6.00,2500000.0,1,6.0,15000000.0
190,2022-08-30,GELS,Gelteq Limited,5.00,1300000.0,1,5.0,6500000.0
191,2022-08-26,TDAC,Translational Development Acquisition Corp.,10.00,15000000.0,1,10.0,150000000.0
192,2022-08-19,IBG,Innovation Beverage Group Limited,4.13,1400000.0,1,4.13,5782000.0
193,2022-08-16,GLE,Global Engine Group Holding Limited,4.00 - 5.00,2500000.0,2,4.5,11250000.0
194,2022-08-16,EMTX,"EMulate Therapeutics, Inc.",4.00 - 6.00,2300000.0,2,5.0,11500000.0
195,2022-08-10,FLCT,Felicitex Therapeutics Inc.,6.25,2480000.0,1,6.25,15500000.0
196,2022-08-08,BCGF,BCGF Acquisition Corp.,10.00,5000000.0,1,10.0,50000000.0
197,2022-08-05,MDLS,MDNA Life Sciences Inc.,5.00 - 6.00,2454545.0,2,5.5,13499997.5
198,2022-08-05,LMIN,Laminera Flow Optimization Ltd.,4.25 - 6.25,1600000.0,2,5.25,8400000.0
199,2022-07-21,RPGL,Republic Power Group Limited,5.00 - 6.00,1200000.0,2,5.5,6600000.0
200,2022-07-20,WPA,Whale Point Acquisition Corp.,10.00,15000000.0,1,10.0,150000000.0
201,2022-07-14,VACX,Vistas Acquisition Company II Inc.,10.00,20000000.0,1,10.0,200000000.0
202,2022-07-13,HESP,"Hesperos, Inc.",-,,0,0.0,
203,2022-07-12,TWEN,T20 Holdings Pte. Ltd.,4.00 - 6.00,2637500.0,2,5.0,13187500.0
204,2022-07-12,CJOY,Cine Top Culture Holdings Limited,4.00,4600000.0,1,4.0,18400000.0
205,2022-07-01,YKAI,YUKAI Health Group Limited,4.00 - 6.00,4000000.0,2,5.0,20000000.0
206,2022-06-13,LEWY,"LeeWay Services, Inc.",5.00,3000000.0,1,5.0,15000000.0
207,2022-06-03,SAVU,BioLife4D Corporation,5.20 - 7.20,1596154.0,2,6.2,9896154.8
208,2022-06-01,NYX,"NYIAX, Inc.",4.00,2106250.0,1,4.0,8425000.0
209,2022-05-23,NEAT,Noble Education Acquisition Corp.,10.00,10000000.0,1,10.0,100000000.0
210,2022-05-09,CEAC,CE Energy Acquisition Corp.,10.00,10000000.0,1,10.0,100000000.0
211,2022-05-05,FP,First Person Ltd.,4.00 - 5.00,2900000.0,2,4.5,13050000.0
212,2022-04-26,HOTI,Hemoglobin Oxygen Therapeutics LLC,-,,0,0.0,
213,2022-04-22,ZTOP,Zi Toprun Acquisition Corp.,10.00,11000000.0,1,10.0,110000000.0
214,2022-04-22,SMST,"SmartStop Self Storage REIT, Inc.",-,,0,0.0,
215,2022-04-15,ASPP,"Abri SPAC 2, Inc.",10.00,10000000.0,1,10.0,100000000.0
216,2022-03-29,WXT,"Wuxin Technology Holdings, Inc.",4.50 - 6.50,6000000.0,2,5.5,33000000.0
217,2022-03-28,ELEP,Elephant Oil Corp.,4.00 - 5.00,1666667.0,2,4.5,7500001.5
218,2022-03-21,YMAT,"J-Star Holding Co., Ltd.",4.00 - 5.00,2500000.0,2,4.5,11250000.0
219,2022-03-18,BFFI,BFFI Group Inc.,-,,0,0.0,
220,2022-03-07,ALPX,"Alopexx, Inc.",5.00,3000000.0,1,5.0,15000000.0
221,2022-02-22,GOSC,Giant Oak Acquisition Corporation,10.00,6000000.0,1,10.0,60000000.0
