,Filing Date,Symbol,Company Name,Price Range,Shares Offered,Price Range_nos,Avg_price,Shares_offered_value
284,2021-04-05,AURV,Aurvandil Acquisition Corp.,10.00,25000000.0,1,10.0,250000000.0
285,2021-03-29,BTVC,Tribe Capital Growth Corp. II,10.00,30000000.0,1,10.0,300000000.0
286,2021-03-22,CATL,Category Leader Partner Corporation 1,10.00,20000000.0,1,10.0,200000000.0
287,2021-03-19,ONS,ONS Acquisition Corp.,10.00,15000000.0,1,10.0,150000000.0
288,2021-03-19,ETA,Integrated Energy Transition Acquisition Corp.,10.00,15000000.0,1,10.0,150000000.0
289,2021-03-18,RCDA,Red Cell DRM Acquisition Corp.,10.00,25000000.0,1,10.0,250000000.0
290,2021-03-18,STLR,Stellaris Growth Acquisition Corp.,10.00,12800000.0,1,10.0,128000000.0
291,2021-03-17,ICGA,ICG Hypersonic Acquisition Corp.,10.00,25000000.0,1,10.0,250000000.0
292,2021-03-11,SPGL,SPGL Acquisition Corporation,10.00,25000000.0,1,10.0,250000000.0
293,2021-03-11,QNZL,Quinzel Acquisition Company,10.00,20000000.0,1,10.0,200000000.0
294,2021-03-10,TRNY,Trinity Acquisition Corporation,10.00,25000000.0,1,10.0,250000000.0
295,2021-03-08,GFLD,Gefen Landa Acquisition Corp.,10.00,25000000.0,1,10.0,250000000.0
296,2021-03-05,CALQ,Callodine Acquisition Corporation,10.00,25000000.0,1,10.0,250000000.0
297,2021-03-05,CNAQ,Chardan NexTech Acquisition Corp.,10.00,15000000.0,1,10.0,150000000.0
298,2021-03-05,HRDG,Huarui International New Material Limited,4.00 - 6.00,2400000.0,2,5.0,12000000.0
299,2021-03-02,ACAM,Acamar Partners Acquisition Corp. II,10.00,35000000.0,1,10.0,350000000.0
300,2021-03-02,NSAL,"Navios South American Logistics, Inc.",-,,0,0.0,
301,2021-03-01,RADD,Corner Growth Acquisition Corp. 3,10.00,45000000.0,1,10.0,450000000.0
302,2021-02-25,VEMC,Velocity Merger Corp.,10.00,25000000.0,1,10.0,250000000.0
303,2021-02-25,BDS,"Building DreamStar Technology, Inc.",5.50,4600000.0,1,5.5,25300000.0
304,2021-02-23,GGI,Guggenheim Special Purpose Acquisition Corp. I,10.00,50000000.0,1,10.0,500000000.0
305,2021-02-23,TWCG,Galliot Acquisition Corp.,10.00,25000000.0,1,10.0,250000000.0
306,2021-02-23,ATWO,Acies Acquisition Corp. II,10.00,25000000.0,1,10.0,250000000.0
307,2021-02-23,KVSD,Khosla Ventures Acquisition Co. IV,10.00,20000000.0,1,10.0,200000000.0
308,2021-02-22,ASPX,Aspirational Consumer Lifestyle Corp. II,10.00,30000000.0,1,10.0,300000000.0
309,2021-02-22,NPAC,New Providence Acquisition Corp. III,10.00,30000000.0,1,10.0,300000000.0
310,2021-02-19,EOCO,Elliott Opportunity I Corp.,10.00,100000000.0,1,10.0,1000000000.0
311,2021-02-10,EXAC,Excolere Acquisition Corp.,10.00,17500000.0,1,10.0,175000000.0
312,2021-01-25,AACP,Aeon Acquisition Corp.,10.00,12500000.0,1,10.0,125000000.0
313,2021-01-22,TONY,"Tony Fun, Inc.",7.00 - 7.50,4177500.0,2,7.25,30286875.0
314,2021-01-19,DECI,"Decipher Biosciences, Inc.",-,,0,0.0,
315,2020-09-14,NGIO,"NuGenerex Immuno-oncology, Inc.",8.50 - 9.50,5555556.0,2,9.0,50000004.0
316,2020-09-08,GMWX,"GameWorks, Inc.",-,,0,0.0,
317,2020-09-04,SCIT,Sancai Holding Group Ltd.,-,,0,0.0,
318,2020-06-17,ALEH,ALE Group Holding Limited,4.00 - 6.00,4200000.0,2,5.0,21000000.0
319,2020-02-18,CAST,"FreeCast, Inc.",-,,0,0.0,
320,2020-01-21,GOXS,"Goxus, Inc.",8.00 - 10.00,1500000.0,2,9.0,13500000.0
321,2020-01-21,UTXO,"UTXO Acquisition, Inc.",10.00,5000000.0,1,10.0,50000000.0
322,2019-12-09,LOHA,Loha Co. Ltd,8.00 - 10.00,2500000.0,2,9.0,22500000.0
323,2019-10-04,ZGHB,China Eco-Materials Group Co. Limited,4.00,4300000.0,1,4.0,17200000.0
324,2018-12-27,FBOX,Fit Boxx Holdings Limited,5.00 - 6.50,2000000.0,2,5.75,11500000.0
